KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
3,50442,2412,0.327178,103.523827,0.108955,107.221008,13.978682,75.977028,1.925841,0.227936,102.744789,0.63917,76977,4986,0.328662,95.052094,0.03891,58.062782,41.46339,49.907887,1.137241,0.518795,470.305145,0.810634,0.518231,1.932692,0.608128,0.655287.0.483755
3,48755,2472,0.328555,102.860748,0.100261,94.298164,7.887853,62.855652,1.665849,0.290175,82.586876,0.709709,78571,4977,0.327666,95.700478,0.03986,59.563816,42.311054,50.083305,1.157399,0.509356,433.772919,0.817102,0.457742,1.892802,0.664337,0.620522.0.496685
3,47642,2298,0.327254,101.180397,0.11337,102.16069,9.813635,65.662697,1.842622,0.240354,88.166832,0.671072,65075,4740,0.329485,83.50576,0.036397,39.644424,28.878477,33.834057,0.831778,0.653155,467.324615,0.868441,0.505684,1.871336,0.891738,0.732109.0.48481
3,47233,2481,0.314509,100.804398,0.096428,80.768356,10.462263,57.655334,1.5318,0.36607,78.83609,0.729698,83517,6591,0.326822,97.001068,0.024159,63.319588,47.222584,55.779869,1.199101,0.479329,450.418671,0.815329,0.391572,1.784892,0.465983,0.56555.0.376422
3,52077,2673,0.319152,103.515572,0.091592,95.942719,9.02614,65.239998,1.70418,0.284531,94.273468,0.693768,84316,5697,0.329917,95.982964,0.032646,60.68903,43.003464,51.486362,1.174235,0.498886,433.209137,0.813084,0.462709,1.991803,0.529734,0.617641.0.469194
3,21508,1782,0.302567,101.38401,0.085113,79.531677,12.684348,49.722149,1.520956,0.376206,113.366585,0.73258,31598,2133,0.324182,83.916161,0.087275,39.001385,27.3211,34.613167,0.819559,0.660656,460.888977,0.869913,0.381686,1.87579,0.446513,0.680676.0.835443
3,24217,2184,0.302856,98.012779,0.063801,71.020729,13.792802,44.957912,1.397018,0.422014,125.022942,0.7513,38948,5892,0.296279,88.252403,0.014098,45.11507,36.343285,43.376511,0.88523,0.602306,930.855286,0.858993,0.34505,2.056497,0.698614,0.621778.0.370672
3,22615,1734,0.312677,94.364639,0.094517,64.972176,8.961672,49.676281,1.292293,0.453645,102.700249,0.780361,34755,2862,0.321413,81.297531,0.05332,36.97776,27.707212,34.309158,0.757679,0.67093,477.014435,0.882202,0.322224,1.632768,0.488204,0.650698.0.60587
3,23241,2019,0.3108,96.514488,0.071646,64.1679,8.652092,50.538403,1.271365,0.473747,118.360352,0.780974,42382,4809,0.315258,95.082954,0.023029,54.642132,44.574471,53.769459,0.968173,0.542478,690.716431,0.845556,0.307384,1.835455,0.421192,0.54837.0.419838
3,26865,2397,0.315173,105.147728,0.058757,94.65712,18.119324,79.392197,1.750886,0.297662,165.301682,0.676046,37063,4029,0.311404,82.49675,0.028692,37.232491,27.135633,34.090595,0.770493,0.669081,735.181641,0.877276,0.448468,2.445918,0.587406,0.724847.0.594937
